index,pop_density_2015,pop_density_2016,pop_density_2017,pop_density_2018,pop_density_2019
0,22172.309,23308.975,24187.615,25276.205,26444.977
1,71.77417,56.24787,66.42686,61.615932,67.73888
2,22909.07,23998.143,24892.275,25442.432,26283.06
3,13716.232,14089.576,14577.727,15390.683,15991.014
4,14355.65,14874.707,15271.341,15725.264,16499.209
5,22382.746,23395.418,24149.986,24862.951,25913.03
6,15391.615,17006.928,17414.373,18387.969,19196.156
7,505.35025,527.10657,536.68744,532.72784,550.59784
8,140.44748,140.19208,139.22372,147.31744,136.94153
9,4548.7876,5320.3164,5478.7236,5653.686,5726.8047
10,19669.352,20300.602,21374.262,21567.918,22565.174
11,16079.837,16062.627,16739.115,17363.264,17483.5
12,88176.336,92427.53,93207.81,98634.65,101044.79
13,25206.85,26216.197,27200.021,28156.57,29080.676
14,21610.396,21934.42,21850.688,22665.318,22824.48
15,31328.932,32039.824,33041.76,33640.83,34569.53
16,20956.242,21857.105,22353.924,23429.594,23760.55
17,38970.906,40015.05,40549.36,41533.82,43223.742
18,2556.7158,2916.4185,3159.7512,3279.9915,3303.7124
19,10715.519,10562.8,10863.2,10762.669,11474.1455
20,3914.065,3745.788,3753.6,3972.081,4056.6426
21,5203.398,5129.4385,5241.3506,5612.12,5860.173
22,9067.754,8878.649,9014.598,8957.411,9021.227
23,484.15958,522.2432,579.953,537.0908,518.6243
24,519.5794,485.21793,358.83344,499.45493,358.9477
25,247.55424,272.18048,277.03137,287.09015,287.21384
26,11698.584,11757.0625,11846.4,11844.109,11853.448
27,10076.14,9729.93,9287.01,9476.651,9836.773
28,8436.948,8181.0645,8581.025,8598.415,8774.178
29,2239.2712,2317.993,2338.614,2265.975,2324.3074
30,16698.293,17379.55,17517.78,17398.791,17692.441
31,18197.104,18793.443,18688.28,18554.566,18697.078
32,1617.008,1695.8036,1702.5125,1664.5995,1615.0417
33,3080.3982,3233.0747,3350.2722,3319.5674,3296.7317
34,34471.453,36376.785,36494.707,36081.1,36470.492
35,16858.334,17378.893,17650.021,17290.346,17355.885
36,389.12933,376.37225,379.11902,385.23416,386.36682
37,20218.98,20643.195,21106.535,20825.254,21320.236
38,1273.4601,1228.3212,1260.8827,1384.4497,1375.1252
39,6011.071,6246.897,6433.247,6611.1147,6542.4033
40,32584.111,32186.215,33077.61,33189.52,33554.39
41,11617.557,11451.97,11633.591,11641.919,11616.232
42,7778.65,7363.0977,7229.746,7368.2437,7316.298
43,1044.1345,1070.8833,1091.5236,1091.7285,1103.6829
44,5307.6577,5149.6675,5078.728,5153.1216,5149.0923
45,20678.236,21574.467,21472.525,21414.5,21310.18
46,8862.973,9014.873,9094.356,9125.755,8978.161
47,6957.9834,6629.131,6625.493,6544.76,6633.2734
48,16094.763,16086.164,15932.89,16319.779,16348.8955
49,4054.1814,4180.593,4063.7517,4122.104,4091.1152
50,188.36417,172.38008,172.53299,176.0349,171.95761
51,557.9839,503.42804,493.83527,510.56573,481.9102
52,1247.3494,1215.4691,1204.5747,1242.6549,1230.856
53,816.4148,752.8826,757.86926,774.4851,641.3512
54,1273.7794,1217.8827,1251.2206,1272.4639,1339.1019
