Year,CV,Mode,Model,Subset,R2_mean,R2_std,RMSE_mean,N,N_features
2015,Spatial,sentinel_full,AOD,all,0.7923,0.0075,27.58,50451,24
2015,Spatial,sentinel_full,AOD,aod_present,0.8184,,19.92,5743,24
2015,Spatial,sentinel_full,AOD,aod_missing,0.7889,,28.5,44708,24
2015,Spatial,sentinel_full,Non-AOD,all,0.7887,0.0077,27.81,50451,22
2015,Spatial,sentinel_full,Non-AOD,aod_present,0.7867,,21.59,5743,22
2015,Spatial,sentinel_full,Non-AOD,aod_missing,0.7876,,28.59,44708,22
2015,Spatial,clear_sky,AOD,all,0.7983,0.0077,20.99,5743,24
2015,Spatial,clear_sky,Non-AOD,all,0.7696,0.0135,22.43,5743,22
2015,Temporal,sentinel_full,AOD,all,0.3535,0.0051,48.66,50451,24
2015,Temporal,sentinel_full,AOD,aod_present,0.3684,,37.15,5743,24
2015,Temporal,sentinel_full,AOD,aod_missing,0.3515,,49.96,44708,24
2015,Temporal,sentinel_full,Non-AOD,all,0.3325,0.005,49.44,50451,22
2015,Temporal,sentinel_full,Non-AOD,aod_present,0.1812,,42.3,5743,22
2015,Temporal,sentinel_full,Non-AOD,aod_missing,0.3428,,50.29,44708,22
2015,Temporal,clear_sky,AOD,all,0.4182,0.0109,35.66,5743,24
2015,Temporal,clear_sky,Non-AOD,all,0.2099,0.0195,41.55,5743,22
2016,Spatial,sentinel_full,AOD,all,0.8103,0.0027,25.49,49390,24
2016,Spatial,sentinel_full,AOD,aod_present,0.8257,,22.17,4937,24
2016,Spatial,sentinel_full,AOD,aod_missing,0.8089,,25.82,44453,24
2016,Spatial,sentinel_full,Non-AOD,all,0.8072,0.0028,25.69,49390,22
2016,Spatial,sentinel_full,Non-AOD,aod_present,0.7987,,23.83,4937,22
2016,Spatial,sentinel_full,Non-AOD,aod_missing,0.8078,,25.9,44453,22
2016,Spatial,clear_sky,AOD,all,0.792,0.0037,24.22,4937,24
2016,Spatial,clear_sky,Non-AOD,all,0.7648,0.0067,25.75,4937,22
2016,Temporal,sentinel_full,AOD,all,0.4043,0.0107,45.16,49390,24
2016,Temporal,sentinel_full,AOD,aod_present,0.4289,,40.13,4937,24
2016,Temporal,sentinel_full,AOD,aod_missing,0.4028,,45.65,44453,24
2016,Temporal,sentinel_full,Non-AOD,all,0.3964,0.0107,45.46,49390,22
2016,Temporal,sentinel_full,Non-AOD,aod_present,0.3812,,41.77,4937,22
2016,Temporal,sentinel_full,Non-AOD,aod_missing,0.3968,,45.88,44453,22
2016,Temporal,clear_sky,AOD,all,0.3855,0.0093,41.63,4937,24
2016,Temporal,clear_sky,Non-AOD,all,0.2964,0.0138,44.54,4937,22
2017,Spatial,sentinel_full,AOD,all,0.8331,0.0043,20.04,51635,24
2017,Spatial,sentinel_full,AOD,aod_present,0.8346,,15.85,6535,24
2017,Spatial,sentinel_full,AOD,aod_missing,0.8334,,20.52,45100,24
2017,Spatial,sentinel_full,Non-AOD,all,0.8307,0.0049,20.19,51635,22
2017,Spatial,sentinel_full,Non-AOD,aod_present,0.8123,,16.89,6535,22
2017,Spatial,sentinel_full,Non-AOD,aod_missing,0.8325,,20.57,45100,22
2017,Spatial,clear_sky,AOD,all,0.8212,0.0086,16.48,6535,24
2017,Spatial,clear_sky,Non-AOD,all,0.7477,0.0171,19.57,6535,22
2017,Temporal,sentinel_full,AOD,all,0.389,0.0065,38.35,51635,24
2017,Temporal,sentinel_full,AOD,aod_present,0.3719,,30.89,6535,24
2017,Temporal,sentinel_full,AOD,aod_missing,0.3895,,39.28,45100,24
2017,Temporal,sentinel_full,Non-AOD,all,0.3624,0.0054,39.17,51635,22
2017,Temporal,sentinel_full,Non-AOD,aod_present,0.1641,,35.64,6535,22
2017,Temporal,sentinel_full,Non-AOD,aod_missing,0.3758,,39.72,45100,22
2017,Temporal,clear_sky,AOD,all,0.434,0.0133,29.33,6535,24
2017,Temporal,clear_sky,Non-AOD,all,0.176,0.0178,35.38,6535,22
2018,Spatial,sentinel_full,AOD,all,0.8179,0.0053,18.27,50519,24
2018,Spatial,sentinel_full,AOD,aod_present,0.8676,,13.54,6570,24
2018,Spatial,sentinel_full,AOD,aod_missing,0.8125,,18.88,43949,24
2018,Spatial,sentinel_full,Non-AOD,all,0.8037,0.0062,18.97,50519,22
2018,Spatial,sentinel_full,Non-AOD,aod_present,0.7872,,17.16,6570,22
2018,Spatial,sentinel_full,Non-AOD,aod_missing,0.805,,19.25,43949,22
2018,Spatial,clear_sky,AOD,all,0.8514,0.0062,14.34,6570,24
2018,Spatial,clear_sky,Non-AOD,all,0.7703,0.0107,17.83,6570,22
2018,Temporal,sentinel_full,AOD,all,0.3608,0.0069,34.23,50519,24
2018,Temporal,sentinel_full,AOD,aod_present,0.4092,,28.59,6570,24
2018,Temporal,sentinel_full,AOD,aod_missing,0.3593,,34.9,43949,24
2018,Temporal,sentinel_full,Non-AOD,all,0.3179,0.0073,35.36,50519,22
2018,Temporal,sentinel_full,Non-AOD,aod_present,0.0859,,35.57,6570,22
2018,Temporal,sentinel_full,Non-AOD,aod_missing,0.343,,35.34,43949,22
2018,Temporal,clear_sky,AOD,all,0.4015,0.0069,28.78,6570,24
2018,Temporal,clear_sky,Non-AOD,all,0.0467,0.0313,36.32,6570,22
2019,Spatial,sentinel_full,AOD,all,0.8587,0.003,16.22,50551,24
2019,Spatial,sentinel_full,AOD,aod_present,0.8598,,12.14,6513,24
2019,Spatial,sentinel_full,AOD,aod_missing,0.8587,,16.71,44038,24
2019,Spatial,sentinel_full,Non-AOD,all,0.8541,0.0031,16.48,50551,22
2019,Spatial,sentinel_full,Non-AOD,aod_present,0.822,,13.68,6513,22
2019,Spatial,sentinel_full,Non-AOD,aod_missing,0.8567,,16.83,44038,22
2019,Spatial,clear_sky,AOD,all,0.8356,0.0042,13.15,6513,24
2019,Spatial,clear_sky,Non-AOD,all,0.7823,0.0096,15.13,6513,22
2019,Temporal,sentinel_full,AOD,all,0.3939,0.0079,33.59,50551,24
2019,Temporal,sentinel_full,AOD,aod_present,0.2801,,27.51,6513,24
2019,Temporal,sentinel_full,AOD,aod_missing,0.4028,,34.35,44038,24
2019,Temporal,sentinel_full,Non-AOD,all,0.3681,0.0089,34.3,50551,22
2019,Temporal,sentinel_full,Non-AOD,aod_present,0.1072,,30.64,6513,22
2019,Temporal,sentinel_full,Non-AOD,aod_missing,0.3845,,34.87,44038,22
2019,Temporal,clear_sky,AOD,all,0.38,0.0158,25.53,6513,24
2019,Temporal,clear_sky,Non-AOD,all,0.1023,0.0215,30.72,6513,22
