Year,Model,CV,R2_mean,R2_std,RMSE_mean,RMSE_std,N_samples,N_features
2015,Non-AOD,Spatial,0.7887,0.0077,27.81,0.5,50451,22
2015,Non-AOD,Temporal,0.3325,0.005,49.44,0.19,50451,22
2015,Non-AOD,Random,0.8177,0.0008,25.84,0.06,50451,22
2015,AOD,Spatial,0.7923,0.0075,27.58,0.49,50451,24
2015,AOD,Temporal,0.3535,0.0051,48.66,0.19,50451,24
2015,AOD,Random,0.8207,0.0009,25.63,0.06,50451,24
2015,Date-ID,Spatial,0.8917,0.0033,19.92,0.3,50451,3
2015,Date-ID,Temporal,0.3541,0.0195,48.63,0.74,50451,3
2015,Date-ID,Random,0.9195,0.0005,17.17,0.06,50451,3
2015,Distance,Spatial,0.4286,0.0102,45.3,0.4,12985,22
2015,Distance,Temporal,0.3734,0.004,47.44,0.15,12985,22
2015,Distance,Random,0.5266,0.0024,41.23,0.11,12985,22
2016,Non-AOD,Spatial,0.8072,0.0028,25.69,0.19,49390,22
2016,Non-AOD,Temporal,0.3964,0.0107,45.46,0.4,49390,22
2016,Non-AOD,Random,0.8335,0.0007,23.88,0.05,49390,22
2016,AOD,Spatial,0.8103,0.0027,25.49,0.18,49390,24
2016,AOD,Temporal,0.4043,0.0107,45.16,0.4,49390,24
2016,AOD,Random,0.8355,0.0006,23.73,0.04,49390,24
2016,Date-ID,Spatial,0.9123,0.0011,17.33,0.11,49390,3
2016,Date-ID,Temporal,0.3837,0.0228,45.93,0.84,49390,3
2016,Date-ID,Random,0.9305,0.0005,15.43,0.06,49390,3
2016,Distance,Spatial,0.4627,0.0048,41.73,0.19,12563,22
2016,Distance,Temporal,0.416,0.0084,43.51,0.31,12563,22
2016,Distance,Random,0.5334,0.0035,38.89,0.15,12563,22
2017,Non-AOD,Spatial,0.8307,0.0049,20.19,0.29,51635,22
2017,Non-AOD,Temporal,0.3624,0.0054,39.17,0.17,51635,22
2017,Non-AOD,Random,0.8477,0.0014,19.15,0.09,51635,22
2017,AOD,Spatial,0.8331,0.0043,20.04,0.26,51635,24
2017,AOD,Temporal,0.389,0.0065,38.35,0.2,51635,24
2017,AOD,Random,0.8492,0.0015,19.05,0.09,51635,24
2017,Date-ID,Spatial,0.9259,0.0021,13.35,0.19,51635,3
2017,Date-ID,Temporal,0.2937,0.0147,41.23,0.43,51635,3
2017,Date-ID,Random,0.9387,0.0012,12.15,0.12,51635,3
2017,Distance,Spatial,0.4572,0.0047,35.92,0.16,12582,22
2017,Distance,Temporal,0.4156,0.0054,37.27,0.17,12582,22
2017,Distance,Random,0.5412,0.0022,33.02,0.08,12582,22
2018,Non-AOD,Spatial,0.8037,0.0062,18.97,0.3,50519,22
2018,Non-AOD,Temporal,0.3179,0.0073,35.36,0.19,50519,22
2018,Non-AOD,Random,0.8365,0.0013,17.31,0.07,50519,22
2018,AOD,Spatial,0.8179,0.0053,18.27,0.26,50519,24
2018,AOD,Temporal,0.3608,0.0069,34.23,0.19,50519,24
2018,AOD,Random,0.8468,0.0016,16.76,0.09,50519,24
2018,Date-ID,Spatial,0.9349,0.0019,10.93,0.16,50519,3
2018,Date-ID,Temporal,0.3947,0.0172,33.31,0.47,50519,3
2018,Date-ID,Random,0.9476,0.0004,9.8,0.03,50519,3
2018,Distance,Spatial,0.3904,0.0072,33.58,0.2,11780,22
2018,Distance,Temporal,0.3636,0.0071,34.31,0.19,11780,22
2018,Distance,Random,0.4932,0.002,30.62,0.06,11780,22
2019,Non-AOD,Spatial,0.8541,0.0031,16.48,0.18,50551,22
2019,Non-AOD,Temporal,0.3681,0.0089,34.3,0.24,50551,22
2019,Non-AOD,Random,0.8709,0.0011,15.5,0.06,50551,22
2019,AOD,Spatial,0.8587,0.003,16.22,0.18,50551,24
2019,AOD,Temporal,0.3939,0.0079,33.59,0.22,50551,24
2019,AOD,Random,0.8731,0.0011,15.37,0.07,50551,24
2019,Date-ID,Spatial,0.9462,0.0013,10.01,0.12,50551,3
2019,Date-ID,Temporal,0.434,0.0239,32.45,0.69,50551,3
2019,Date-ID,Random,0.954,0.0004,9.25,0.04,50551,3
2019,Distance,Spatial,0.5108,0.0041,29.99,0.13,11994,22
2019,Distance,Temporal,0.4248,0.0064,32.52,0.18,11994,22
2019,Distance,Random,0.577,0.0016,27.88,0.05,11994,22
