R2_mean,R2_std,RMSE_mean,RMSE_std,max_depth
0.4116,0.0012,33.09,0.03,5
0.451,0.0013,31.97,0.04,6
0.4944,0.0015,30.68,0.05,7
0.542,0.0019,29.2,0.06,8
0.5914,0.002,27.58,0.07,9
0.638,0.0021,25.96,0.08,10
0.6806,0.0024,24.38,0.09,11
0.7184,0.0025,22.89,0.1,12
0.7509,0.0028,21.53,0.12,13
0.7775,0.0029,20.35,0.13,14
0.7989,0.0028,19.35,0.14,15
0.8153,0.0027,18.54,0.14,16
0.8277,0.0027,17.91,0.14,17
0.8368,0.0026,17.43,0.14,18
0.8433,0.0023,17.08,0.13,19
0.8476,0.0022,16.84,0.12,20
0.8508,0.0021,16.67,0.12,21
0.8528,0.002,16.56,0.11,22
0.8542,0.0021,16.47,0.12,23
0.8551,0.002,16.42,0.11,24
0.8558,0.0019,16.38,0.11,25
0.8561,0.002,16.36,0.12,26
0.8563,0.002,16.36,0.11,27
0.8565,0.002,16.35,0.11,28
0.8565,0.002,16.34,0.11,29
0.8565,0.0019,16.34,0.11,30
0.8567,0.002,16.33,0.11,31
0.8567,0.002,16.33,0.11,32
0.8567,0.002,16.33,0.11,33
0.8567,0.002,16.33,0.11,34
0.8566,0.002,16.34,0.11,35
