R2_mean,R2_std,RMSE_mean,RMSE_std,max_depth
0.4156,0.0011,32.98,0.03,5
0.4566,0.0011,31.81,0.03,6
0.4991,0.0013,30.54,0.04,7
0.5419,0.0014,29.2,0.05,8
0.5879,0.0017,27.7,0.06,9
0.6338,0.0018,26.11,0.06,10
0.6736,0.002,24.65,0.07,11
0.7087,0.0021,23.28,0.08,12
0.7396,0.0025,22.02,0.11,13
0.7659,0.0028,20.87,0.12,14
0.788,0.0028,19.87,0.13,15
0.8059,0.0029,19.01,0.14,16
0.8203,0.0029,18.29,0.15,17
0.8314,0.0027,17.71,0.14,18
0.8399,0.0026,17.26,0.14,19
0.8461,0.0026,16.92,0.14,20
0.8507,0.0025,16.67,0.14,21
0.8539,0.0024,16.49,0.13,22
0.8561,0.0025,16.37,0.14,23
0.8576,0.0024,16.28,0.14,24
0.8588,0.0024,16.21,0.14,25
0.8593,0.0024,16.18,0.14,26
0.8598,0.0023,16.15,0.13,27
0.8602,0.0023,16.13,0.13,28
0.8604,0.0025,16.12,0.14,29
0.8606,0.0024,16.11,0.14,30
0.8607,0.0024,16.1,0.14,31
0.8607,0.0023,16.1,0.13,32
0.8606,0.0024,16.11,0.14,33
0.8608,0.0024,16.1,0.14,34
0.8607,0.0024,16.1,0.14,35
