R2_mean,R2_std,RMSE_mean,RMSE_std,max_depth
0.3876,0.0026,33.55,0.07,5
0.4144,0.0034,32.81,0.09,6
0.4362,0.0039,32.19,0.11,7
0.4532,0.004,31.7,0.12,8
0.4672,0.0039,31.29,0.11,9
0.4784,0.0045,30.96,0.13,10
0.4877,0.0043,30.69,0.13,11
0.4946,0.0046,30.48,0.14,12
0.4993,0.0048,30.34,0.14,13
0.5026,0.0049,30.24,0.15,14
0.5055,0.0047,30.15,0.14,15
0.5072,0.0046,30.1,0.14,16
0.5082,0.005,30.07,0.15,17
0.5091,0.0049,30.04,0.15,18
0.51,0.0046,30.01,0.14,19
0.51,0.0043,30.01,0.13,20
0.5098,0.0044,30.02,0.13,21
0.5107,0.0048,29.99,0.15,22
0.5106,0.0044,29.99,0.13,23
0.5101,0.0041,30.01,0.13,24
0.5107,0.0043,29.99,0.13,25
0.5106,0.0044,29.99,0.14,26
0.5109,0.0043,29.98,0.13,27
0.5108,0.0044,29.99,0.14,28
0.5107,0.0046,29.99,0.14,29
0.5106,0.0045,29.99,0.14,30
0.5105,0.0043,30.0,0.13,31
0.5106,0.0044,29.99,0.13,32
0.5106,0.0044,29.99,0.14,33
0.5106,0.0044,29.99,0.14,34
0.5106,0.0044,29.99,0.14,35
