R2_mean,R2_std,RMSE_mean,RMSE_std,max_depth
0.5373,0.0005,29.35,0.02,5
0.6057,0.0007,27.09,0.02,6
0.6721,0.0004,24.71,0.01,7
0.7382,0.0004,22.08,0.02,8
0.7871,0.0003,19.91,0.01,9
0.8328,0.0004,17.64,0.02,10
0.8676,0.0005,15.7,0.03,11
0.8921,0.0005,14.17,0.03,12
0.9107,0.0005,12.89,0.04,13
0.9241,0.0005,11.89,0.04,14
0.9331,0.0006,11.16,0.05,15
0.9389,0.0006,10.66,0.06,16
0.9426,0.0007,10.34,0.06,17
0.9447,0.0007,10.15,0.07,18
0.9459,0.0007,10.04,0.07,19
0.9465,0.0008,9.98,0.07,20
0.9467,0.0008,9.96,0.07,21
0.9469,0.0008,9.94,0.07,22
0.9469,0.0008,9.94,0.07,23
0.9469,0.0008,9.94,0.07,24
0.9469,0.0008,9.94,0.07,25
0.9469,0.0008,9.94,0.07,26
0.9469,0.0008,9.94,0.07,27
0.9469,0.0008,9.94,0.07,28
0.9469,0.0008,9.94,0.07,29
0.9469,0.0008,9.94,0.07,30
0.9469,0.0008,9.94,0.07,31
0.9469,0.0008,9.94,0.07,32
0.9469,0.0008,9.94,0.07,33
0.9469,0.0008,9.94,0.07,34
0.9469,0.0008,9.94,0.07,35
