R2_mean,R2_std,RMSE_mean,RMSE_std,max_features
0.5132,0.004,30.1,0.12,1
0.598,0.0043,27.36,0.15,2
0.6752,0.0034,24.59,0.13,3
0.7317,0.0033,22.35,0.14,4
0.7716,0.0033,20.62,0.15,5
0.7934,0.0029,19.61,0.14,6
0.8076,0.0035,18.92,0.17,7
0.8202,0.0033,18.29,0.17,8
0.8299,0.0029,17.79,0.15,9
0.8375,0.0028,17.39,0.15,10
0.8426,0.0023,17.12,0.12,11
0.8471,0.0024,16.87,0.13,12
0.8491,0.0024,16.76,0.13,13
0.8524,0.003,16.58,0.17,14
0.8542,0.0026,16.47,0.15,15
0.8548,0.0022,16.44,0.13,16
0.8562,0.0023,16.36,0.13,17
0.8567,0.002,16.33,0.11,18
0.857,0.0025,16.32,0.14,19
0.8569,0.0022,16.32,0.13,20
0.8567,0.0022,16.33,0.13,21
0.8566,0.0019,16.34,0.11,22
