R2_mean,R2_std,RMSE_mean,RMSE_std,max_features
0.5428,0.0033,29.17,0.1,1
0.6301,0.0038,26.24,0.14,2
0.7002,0.0031,23.62,0.12,3
0.7503,0.0035,21.56,0.15,4
0.785,0.0031,20.01,0.14,5
0.8046,0.0045,19.07,0.22,6
0.8201,0.0033,18.3,0.17,7
0.8309,0.0026,17.74,0.14,8
0.8386,0.0028,17.34,0.15,9
0.8432,0.0026,17.08,0.14,10
0.849,0.0025,16.76,0.14,11
0.8512,0.0029,16.64,0.16,12
0.8541,0.0026,16.48,0.15,13
0.8561,0.0021,16.36,0.12,14
0.8577,0.0021,16.28,0.12,15
0.8591,0.0025,16.19,0.14,16
0.8603,0.0028,16.13,0.16,17
0.8608,0.0025,16.1,0.15,18
0.8617,0.0023,16.04,0.13,19
0.8619,0.0028,16.03,0.16,20
0.8614,0.0027,16.06,0.15,21
0.8615,0.0022,16.06,0.13,22
0.8612,0.0022,16.08,0.13,23
0.8608,0.0024,16.1,0.14,24
