R2_mean,R2_std,RMSE_mean,RMSE_std,max_features
0.3613,0.0079,34.26,0.21,1
0.3861,0.0063,33.59,0.17,2
0.418,0.0056,32.71,0.16,3
0.4385,0.0062,32.13,0.18,4
0.4588,0.0051,31.54,0.15,5
0.4713,0.0047,31.17,0.14,6
0.4781,0.0054,30.97,0.16,7
0.484,0.0051,30.8,0.15,8
0.4938,0.0029,30.5,0.09,9
0.4976,0.0039,30.39,0.12,10
0.5013,0.0041,30.28,0.12,11
0.5051,0.0027,30.16,0.08,12
0.506,0.0044,30.13,0.13,13
0.5094,0.005,30.03,0.15,14
0.5112,0.0037,29.97,0.11,15
0.5091,0.0068,30.04,0.21,16
0.5113,0.0042,29.97,0.13,17
0.5128,0.0054,29.92,0.16,18
0.5128,0.0051,29.93,0.16,19
0.5096,0.0046,30.02,0.14,20
0.5111,0.0047,29.98,0.15,21
0.5106,0.0044,29.99,0.13,22
