R2_mean,R2_std,RMSE_mean,RMSE_std,max_samples
0.4685,0.0026,31.46,0.08,0.02
0.5269,0.002,29.67,0.06,0.04
0.5679,0.0032,28.36,0.11,0.06
0.6001,0.0033,27.29,0.11,0.08
0.6253,0.0024,26.41,0.09,0.1
0.647,0.003,25.63,0.11,0.12
0.6652,0.0027,24.97,0.1,0.14
0.682,0.0024,24.33,0.09,0.16
0.6965,0.0029,23.77,0.11,0.18
0.7096,0.0026,23.25,0.11,0.2
0.7214,0.0029,22.77,0.12,0.22
0.7311,0.0031,22.37,0.13,0.24
0.7416,0.0031,21.93,0.13,0.26
0.7507,0.0034,21.54,0.15,0.28
0.758,0.0029,21.22,0.13,0.3
0.7655,0.0027,20.89,0.12,0.32
0.7722,0.0026,20.59,0.12,0.34
0.7786,0.0031,20.3,0.14,0.36
0.7839,0.0026,20.06,0.12,0.38
0.7894,0.0025,19.8,0.12,0.4
0.7942,0.0031,19.57,0.15,0.42
0.7984,0.003,19.37,0.15,0.44
0.803,0.003,19.15,0.15,0.46
0.8067,0.0034,18.97,0.17,0.48
0.8106,0.0026,18.78,0.13,0.5
0.814,0.0027,18.61,0.14,0.52
0.8172,0.0026,18.45,0.13,0.54
0.8206,0.0031,18.28,0.16,0.56
0.8234,0.0027,18.13,0.14,0.58
0.8259,0.0028,18.0,0.14,0.6
0.8287,0.0026,17.86,0.14,0.62
0.8308,0.0032,17.74,0.17,0.64
0.8328,0.0028,17.64,0.15,0.66
0.8346,0.0027,17.55,0.14,0.68
0.8369,0.0025,17.42,0.13,0.7
0.8388,0.0027,17.32,0.15,0.72
0.8407,0.0025,17.22,0.14,0.74
0.8422,0.0025,17.14,0.14,0.76
0.8436,0.0023,17.06,0.13,0.78
0.845,0.0025,16.99,0.14,0.8
0.8467,0.0026,16.89,0.15,0.82
0.8478,0.0026,16.83,0.14,0.84
0.8492,0.0025,16.75,0.14,0.86
0.8502,0.0026,16.7,0.14,0.88
0.8521,0.0024,16.59,0.13,0.9
0.8527,0.0022,16.56,0.13,0.92
0.8537,0.0024,16.5,0.13,0.94
0.8546,0.0024,16.45,0.14,0.96
0.8557,0.0026,16.39,0.15,0.98
