R2_mean,R2_std,RMSE_mean,RMSE_std,max_samples
0.4796,0.0028,31.12,0.08,0.02
0.5405,0.0019,29.25,0.06,0.04
0.5817,0.0026,27.9,0.09,0.06
0.6132,0.0031,26.83,0.11,0.08
0.6384,0.0025,25.95,0.09,0.1
0.6597,0.0029,25.17,0.11,0.12
0.6771,0.0028,24.52,0.11,0.14
0.693,0.0025,23.9,0.1,0.16
0.7076,0.0029,23.33,0.12,0.18
0.7203,0.0032,22.82,0.13,0.2
0.7316,0.0029,22.35,0.12,0.22
0.7415,0.0028,21.94,0.12,0.24
0.7514,0.003,21.51,0.13,0.26
0.7594,0.0033,21.16,0.15,0.28
0.7666,0.0029,20.84,0.13,0.3
0.7742,0.0032,20.5,0.15,0.32
0.7803,0.0027,20.22,0.12,0.34
0.7863,0.0026,19.94,0.12,0.36
0.7914,0.0028,19.7,0.13,0.38
0.7965,0.003,19.46,0.14,0.4
0.8013,0.0029,19.23,0.14,0.42
0.8055,0.003,19.03,0.15,0.44
0.8103,0.0029,18.79,0.15,0.46
0.8138,0.0027,18.62,0.14,0.48
0.817,0.0032,18.46,0.16,0.5
0.8203,0.0026,18.29,0.13,0.52
0.8234,0.0028,18.13,0.14,0.54
0.8267,0.0028,17.96,0.15,0.56
0.8295,0.0029,17.81,0.15,0.58
0.8317,0.0027,17.7,0.14,0.6
0.8342,0.0029,17.57,0.16,0.62
0.8362,0.003,17.46,0.16,0.64
0.8383,0.0028,17.35,0.15,0.66
0.8398,0.003,17.27,0.16,0.68
0.8421,0.0029,17.15,0.16,0.7
0.8437,0.0029,17.05,0.16,0.72
0.8454,0.0026,16.96,0.14,0.74
0.8472,0.0025,16.86,0.14,0.76
0.8484,0.0028,16.8,0.15,0.78
0.8499,0.0029,16.72,0.16,0.8
0.8513,0.0027,16.64,0.15,0.82
0.8524,0.0024,16.58,0.14,0.84
0.8537,0.0027,16.5,0.15,0.86
0.8548,0.0026,16.44,0.15,0.88
0.8559,0.0028,16.38,0.16,0.9
0.857,0.0025,16.31,0.14,0.92
0.8582,0.0024,16.24,0.14,0.94
0.8588,0.0026,16.21,0.15,0.96
0.8599,0.0027,16.15,0.16,0.98
