R2_mean,R2_std,RMSE_mean,RMSE_std,max_samples
0.3529,0.0086,34.49,0.23,0.02
0.3902,0.0036,33.48,0.1,0.04
0.407,0.0072,33.02,0.2,0.06
0.4216,0.0039,32.61,0.11,0.08
0.4299,0.0057,32.37,0.16,0.1
0.4371,0.005,32.17,0.14,0.12
0.444,0.0046,31.97,0.13,0.14
0.453,0.0032,31.71,0.09,0.16
0.4564,0.005,31.61,0.15,0.18
0.4597,0.0026,31.51,0.08,0.2
0.464,0.0047,31.39,0.14,0.22
0.4672,0.0039,31.3,0.11,0.24
0.4721,0.0049,31.15,0.14,0.26
0.4743,0.004,31.09,0.12,0.28
0.477,0.0044,31.0,0.13,0.3
0.4786,0.0053,30.96,0.16,0.32
0.4818,0.0054,30.86,0.16,0.34
0.4838,0.0042,30.8,0.12,0.36
0.4852,0.0054,30.76,0.16,0.38
0.4861,0.0034,30.73,0.1,0.4
0.4867,0.0051,30.72,0.15,0.42
0.4876,0.0035,30.69,0.11,0.44
0.4911,0.0043,30.58,0.13,0.46
0.4936,0.0045,30.51,0.14,0.48
0.4939,0.0052,30.5,0.16,0.5
0.4945,0.0041,30.48,0.12,0.52
0.498,0.0047,30.38,0.14,0.54
0.4965,0.0042,30.42,0.13,0.56
0.4988,0.004,30.35,0.12,0.58
0.4989,0.0045,30.35,0.14,0.6
0.4996,0.0042,30.33,0.13,0.62
0.5024,0.0044,30.24,0.13,0.64
0.5026,0.0043,30.24,0.13,0.66
0.5033,0.0049,30.22,0.15,0.68
0.503,0.0049,30.22,0.15,0.7
0.5045,0.0065,30.18,0.2,0.72
0.5049,0.0054,30.17,0.16,0.74
0.5058,0.0058,30.14,0.18,0.76
0.5062,0.0051,30.13,0.16,0.78
0.5062,0.0043,30.13,0.13,0.8
0.5076,0.0043,30.09,0.13,0.82
0.5082,0.0052,30.07,0.16,0.84
0.5089,0.0042,30.04,0.13,0.86
0.5096,0.0044,30.02,0.14,0.88
0.5103,0.005,30.0,0.15,0.9
0.5099,0.0051,30.01,0.16,0.92
0.5105,0.0048,29.99,0.15,0.94
0.5101,0.0044,30.01,0.13,0.96
0.5104,0.0046,30.0,0.14,0.98
