R2_mean,R2_std,RMSE_mean,RMSE_std,max_samples
0.6856,0.0005,24.19,0.02,0.02
0.7721,0.0016,20.6,0.07,0.04
0.8165,0.0011,18.48,0.05,0.06
0.8445,0.0016,17.02,0.09,0.08
0.863,0.0015,15.97,0.09,0.1
0.8771,0.0014,15.12,0.09,0.12
0.8877,0.0013,14.46,0.08,0.14
0.896,0.0011,13.91,0.07,0.16
0.9028,0.0011,13.45,0.08,0.18
0.9084,0.0011,13.06,0.08,0.2
0.9127,0.0009,12.75,0.07,0.22
0.9167,0.0009,12.45,0.07,0.24
0.9202,0.0011,12.19,0.08,0.26
0.9231,0.001,11.96,0.08,0.28
0.9258,0.0009,11.75,0.07,0.3
0.928,0.0008,11.58,0.07,0.32
0.93,0.0009,11.41,0.08,0.34
0.9318,0.0009,11.27,0.08,0.36
0.9332,0.0011,11.15,0.09,0.38
0.9345,0.001,11.04,0.09,0.4
0.9358,0.0011,10.93,0.09,0.42
0.9369,0.0009,10.84,0.08,0.44
0.9379,0.0009,10.75,0.08,0.46
0.9387,0.0009,10.68,0.08,0.48
0.9395,0.0009,10.61,0.08,0.5
0.9402,0.0009,10.55,0.08,0.52
0.941,0.0009,10.48,0.08,0.54
0.9416,0.0009,10.43,0.08,0.56
0.9421,0.0009,10.38,0.08,0.58
0.9427,0.0008,10.33,0.07,0.6
0.9432,0.0009,10.28,0.08,0.62
0.9436,0.0009,10.25,0.08,0.64
0.9439,0.0008,10.22,0.07,0.66
0.9443,0.0008,10.18,0.08,0.68
0.9446,0.0008,10.16,0.07,0.7
0.9448,0.0008,10.14,0.07,0.72
0.9451,0.0009,10.11,0.08,0.74
0.9454,0.0008,10.08,0.08,0.76
0.9455,0.0008,10.07,0.07,0.78
0.9458,0.0009,10.05,0.08,0.8
0.9461,0.0009,10.02,0.08,0.82
0.9461,0.0008,10.02,0.07,0.84
0.9464,0.0007,9.99,0.07,0.86
0.9465,0.0008,9.98,0.07,0.88
0.9465,0.0007,9.98,0.07,0.9
0.9466,0.0006,9.97,0.06,0.92
0.9467,0.0006,9.96,0.05,0.94
0.9468,0.0007,9.95,0.06,0.96
0.9469,0.0008,9.94,0.07,0.98
