R2_mean,R2_std,RMSE_mean,RMSE_std,min_samples_split
0.8566,0.0019,16.34,0.11,2
0.8558,0.0021,16.38,0.12,3
0.8545,0.002,16.46,0.12,4
0.8527,0.0021,16.56,0.12,5
0.8504,0.0022,16.69,0.12,6
0.848,0.0022,16.82,0.12,7
0.8451,0.0022,16.98,0.12,8
0.8421,0.0024,17.14,0.13,9
0.839,0.0024,17.31,0.13,10
0.8357,0.0023,17.49,0.13,11
0.8323,0.0024,17.67,0.13,12
0.8289,0.0024,17.84,0.13,13
0.8255,0.0024,18.02,0.12,14
0.8219,0.0025,18.21,0.13,15
0.8184,0.0025,18.39,0.13,16
0.8148,0.0025,18.57,0.13,17
0.8114,0.0026,18.73,0.13,18
0.8079,0.0025,18.91,0.13,19
0.8045,0.0026,19.07,0.13,20
0.8011,0.0027,19.24,0.13,21
0.7979,0.0026,19.4,0.13,22
0.7946,0.0027,19.55,0.13,23
0.7914,0.0026,19.7,0.12,24
0.7882,0.0026,19.86,0.12,25
0.7851,0.0026,20.0,0.12,26
0.7821,0.0026,20.14,0.12,27
0.7791,0.0026,20.28,0.12,28
0.7762,0.0027,20.41,0.12,29
0.7734,0.0026,20.54,0.12,30
0.7705,0.0026,20.67,0.12,31
0.7677,0.0027,20.79,0.12,32
0.7649,0.0027,20.92,0.12,33
0.7622,0.0027,21.04,0.12,34
