R2_mean,R2_std,RMSE_mean,RMSE_std,min_samples_split
0.8608,0.0024,16.1,0.14,2
0.8602,0.0024,16.13,0.14,3
0.8587,0.0025,16.22,0.14,4
0.857,0.0025,16.31,0.14,5
0.8548,0.0026,16.44,0.15,6
0.8524,0.0025,16.58,0.14,7
0.8498,0.0026,16.72,0.14,8
0.8469,0.0027,16.88,0.15,9
0.844,0.0027,17.04,0.15,10
0.8409,0.0027,17.21,0.15,11
0.8377,0.0027,17.38,0.14,12
0.8344,0.0027,17.56,0.14,13
0.8311,0.0027,17.73,0.14,14
0.8277,0.0027,17.91,0.14,15
0.8243,0.0028,18.09,0.14,16
0.8209,0.0029,18.26,0.15,17
0.8175,0.0029,18.43,0.15,18
0.8142,0.0029,18.6,0.15,19
0.811,0.0029,18.76,0.15,20
0.8077,0.0029,18.92,0.14,21
0.8045,0.0029,19.08,0.14,22
0.8013,0.0029,19.23,0.14,23
0.7982,0.0029,19.38,0.14,24
0.7952,0.0028,19.53,0.14,25
0.7922,0.0029,19.67,0.14,26
0.7893,0.0029,19.81,0.14,27
0.7864,0.0029,19.94,0.13,28
0.7835,0.0029,20.07,0.13,29
0.7808,0.0029,20.2,0.13,30
0.7781,0.0029,20.33,0.13,31
0.7753,0.0029,20.45,0.13,32
0.7727,0.0029,20.57,0.13,33
0.7701,0.0029,20.69,0.13,34
