R2_mean,R2_std,RMSE_mean,RMSE_std,min_samples_split
0.5106,0.0044,29.99,0.13,2
0.5103,0.0043,30.0,0.13,3
0.5093,0.0048,30.03,0.15,4
0.5084,0.0044,30.06,0.14,5
0.5078,0.0046,30.08,0.14,6
0.5067,0.0047,30.11,0.14,7
0.5057,0.0044,30.14,0.13,8
0.5046,0.0047,30.18,0.14,9
0.5033,0.0046,30.22,0.14,10
0.5026,0.0045,30.24,0.14,11
0.5017,0.0043,30.26,0.13,12
0.5008,0.0046,30.29,0.14,13
0.4998,0.0043,30.32,0.13,14
0.4989,0.0044,30.35,0.13,15
0.4979,0.0042,30.38,0.13,16
0.4973,0.0045,30.4,0.14,17
0.4964,0.0042,30.42,0.13,18
0.4957,0.0043,30.45,0.13,19
0.4949,0.0043,30.47,0.13,20
0.4938,0.0044,30.5,0.13,21
0.4929,0.0043,30.53,0.13,22
0.4923,0.0044,30.55,0.13,23
0.4914,0.0047,30.58,0.14,24
0.4904,0.0046,30.61,0.14,25
0.4897,0.0047,30.63,0.14,26
0.4888,0.0045,30.65,0.14,27
0.4879,0.0045,30.68,0.14,28
0.4875,0.0044,30.69,0.13,29
0.4869,0.0043,30.71,0.13,30
0.4863,0.0045,30.73,0.13,31
0.4852,0.0044,30.76,0.13,32
0.4846,0.0045,30.78,0.13,33
0.4836,0.0044,30.81,0.13,34
