R2_mean,R2_std,RMSE_mean,RMSE_std,min_samples_split
0.9469,0.0008,9.94,0.07,2
0.946,0.0008,10.02,0.07,3
0.9446,0.0008,10.15,0.07,4
0.9428,0.0009,10.32,0.08,5
0.9406,0.0009,10.51,0.08,6
0.9382,0.0009,10.72,0.08,7
0.9358,0.0009,10.93,0.08,8
0.9333,0.0009,11.14,0.08,9
0.9309,0.0009,11.35,0.08,10
0.9284,0.001,11.54,0.08,11
0.926,0.001,11.74,0.08,12
0.9236,0.001,11.92,0.08,13
0.9212,0.001,12.11,0.08,14
0.9189,0.001,12.29,0.08,15
0.9166,0.001,12.46,0.07,16
0.9144,0.0009,12.62,0.07,17
0.9122,0.0009,12.78,0.07,18
0.9102,0.0009,12.93,0.06,19
0.9082,0.0009,13.08,0.06,20
0.9061,0.0009,13.22,0.06,21
0.9041,0.0008,13.36,0.06,22
0.902,0.0008,13.5,0.05,23
0.9,0.0008,13.64,0.05,24
0.898,0.0008,13.78,0.05,25
0.896,0.0008,13.92,0.05,26
0.8939,0.0008,14.05,0.05,27
0.8919,0.0008,14.18,0.05,28
0.89,0.0008,14.31,0.05,29
0.888,0.0008,14.44,0.05,30
0.886,0.0008,14.56,0.05,31
0.8841,0.0009,14.69,0.05,32
0.8822,0.0008,14.81,0.05,33
0.8803,0.0008,14.92,0.05,34
