R2_mean,R2_std,RMSE_mean,RMSE_std,max_depth
0.3418,0.0066,35.0,0.18,5
0.3542,0.0067,34.67,0.18,6
0.3643,0.0051,34.4,0.14,7
0.3704,0.0053,34.23,0.15,8
0.3754,0.0055,34.1,0.15,9
0.3776,0.0063,34.04,0.17,10
0.3768,0.0069,34.06,0.19,11
0.3753,0.0075,34.1,0.21,12
0.3745,0.0079,34.12,0.21,13
0.3731,0.0087,34.16,0.24,14
0.3717,0.0081,34.2,0.22,15
0.3709,0.0084,34.22,0.23,16
0.3704,0.0087,34.23,0.24,17
0.3693,0.0087,34.26,0.24,18
0.369,0.0085,34.27,0.23,19
0.3684,0.0088,34.29,0.24,20
0.3683,0.0091,34.29,0.25,21
0.3683,0.0092,34.29,0.25,22
0.3681,0.0091,34.3,0.25,23
0.3678,0.009,34.3,0.24,24
0.3676,0.0088,34.31,0.24,25
0.3679,0.0088,34.3,0.24,26
0.3677,0.0088,34.31,0.24,27
0.3682,0.0087,34.29,0.23,28
0.3683,0.0088,34.29,0.24,29
0.3677,0.0092,34.31,0.25,30
0.3679,0.0089,34.3,0.24,31
0.3674,0.0088,34.31,0.24,32
0.3673,0.0088,34.32,0.24,33
0.3674,0.0084,34.32,0.23,34
0.3674,0.0085,34.31,0.23,35
