R2_mean,R2_std,RMSE_mean,RMSE_std,max_depth
0.3458,0.0057,34.9,0.15,5
0.365,0.0051,34.38,0.14,6
0.3789,0.0043,34.0,0.12,7
0.3867,0.0027,33.79,0.08,8
0.3938,0.004,33.59,0.11,9
0.3995,0.0044,33.43,0.12,10
0.4015,0.0052,33.38,0.15,11
0.4014,0.0053,33.38,0.15,12
0.4013,0.0057,33.38,0.16,13
0.4006,0.0064,33.4,0.18,14
0.3995,0.0068,33.43,0.19,15
0.3988,0.0068,33.45,0.19,16
0.3981,0.0065,33.47,0.18,17
0.3972,0.0069,33.5,0.19,18
0.3967,0.007,33.51,0.19,19
0.3963,0.007,33.52,0.19,20
0.396,0.0071,33.53,0.2,21
0.3952,0.0066,33.55,0.18,22
0.3954,0.007,33.55,0.19,23
0.3953,0.007,33.55,0.19,24
0.395,0.0071,33.56,0.2,25
0.3952,0.0075,33.55,0.21,26
0.3952,0.0071,33.55,0.2,27
0.3953,0.0067,33.55,0.19,28
0.3952,0.0072,33.55,0.2,29
0.3954,0.0074,33.55,0.2,30
0.395,0.0072,33.56,0.2,31
0.395,0.007,33.56,0.19,32
0.3951,0.0068,33.56,0.19,33
0.3949,0.0066,33.56,0.18,34
0.395,0.0069,33.56,0.19,35
