R2_mean,R2_std,RMSE_mean,RMSE_std,max_depth
0.3618,0.0035,34.25,0.09,5
0.3836,0.0029,33.66,0.08,6
0.3993,0.0036,33.23,0.1,7
0.4111,0.0045,32.9,0.13,8
0.4188,0.0051,32.68,0.14,9
0.4231,0.0054,32.56,0.15,10
0.4253,0.0056,32.5,0.16,11
0.4262,0.0061,32.48,0.17,12
0.4269,0.006,32.45,0.17,13
0.4268,0.0064,32.46,0.18,14
0.4267,0.0066,32.46,0.19,15
0.4263,0.0064,32.47,0.18,16
0.4262,0.0072,32.48,0.2,17
0.4258,0.0068,32.49,0.19,18
0.4254,0.0073,32.5,0.21,19
0.4258,0.0072,32.49,0.2,20
0.4253,0.0066,32.5,0.19,21
0.4253,0.0069,32.5,0.19,22
0.425,0.0073,32.51,0.2,23
0.425,0.0067,32.51,0.19,24
0.4254,0.007,32.5,0.2,25
0.4249,0.007,32.51,0.2,26
0.4253,0.0068,32.5,0.19,27
0.4251,0.0066,32.51,0.19,28
0.4249,0.0067,32.51,0.19,29
0.4251,0.0066,32.51,0.19,30
0.425,0.0067,32.51,0.19,31
0.425,0.0067,32.51,0.19,32
0.425,0.0068,32.51,0.19,33
0.425,0.0068,32.51,0.19,34
0.425,0.0067,32.51,0.19,35
