R2_mean,R2_std,RMSE_mean,RMSE_std,max_depth
0.4406,0.0109,32.27,0.31,5
0.46,0.0125,31.7,0.36,6
0.489,0.0169,30.84,0.51,7
0.5049,0.0173,30.35,0.53,8
0.5074,0.0197,30.28,0.61,9
0.5036,0.0192,30.39,0.59,10
0.5004,0.0176,30.49,0.54,11
0.4907,0.0167,30.79,0.51,12
0.4809,0.0169,31.08,0.51,13
0.4725,0.0164,31.33,0.49,14
0.4659,0.0162,31.53,0.48,15
0.4619,0.0162,31.65,0.48,16
0.4588,0.0164,31.74,0.48,17
0.4562,0.0164,31.81,0.48,18
0.4547,0.0164,31.86,0.48,19
0.4537,0.0165,31.88,0.48,20
0.4531,0.0165,31.9,0.48,21
0.4527,0.0165,31.92,0.48,22
0.4524,0.0165,31.92,0.48,23
0.4523,0.0165,31.93,0.49,24
0.4523,0.0165,31.93,0.48,25
0.4522,0.0166,31.93,0.49,26
0.4522,0.0166,31.93,0.49,27
0.4522,0.0165,31.93,0.48,28
0.4522,0.0166,31.93,0.49,29
0.4522,0.0166,31.93,0.49,30
0.4522,0.0166,31.93,0.49,31
0.4522,0.0166,31.93,0.49,32
0.4522,0.0166,31.93,0.49,33
0.4522,0.0166,31.93,0.49,34
0.4522,0.0166,31.93,0.49,35
