R2_mean,R2_std,RMSE_mean,RMSE_std,max_features
0.434,0.0059,32.46,0.17,1
0.4446,0.0052,32.15,0.15,2
0.448,0.0055,32.05,0.16,3
0.4468,0.0067,32.09,0.19,4
0.4423,0.0063,32.22,0.18,5
0.4384,0.0074,32.33,0.21,6
0.4336,0.0065,32.47,0.19,7
0.427,0.0062,32.66,0.18,8
0.4213,0.0081,32.82,0.23,9
0.4181,0.008,32.91,0.23,10
0.4125,0.0069,33.07,0.19,11
0.409,0.0072,33.17,0.2,12
0.4031,0.0078,33.33,0.22,13
0.399,0.0085,33.45,0.24,14
0.3947,0.0075,33.57,0.21,15
0.3893,0.0086,33.72,0.24,16
0.3884,0.0093,33.74,0.26,17
0.3834,0.0075,33.88,0.21,18
0.3809,0.0084,33.95,0.23,19
0.3749,0.009,34.11,0.24,20
0.3717,0.0086,34.2,0.23,21
0.3673,0.0084,34.32,0.23,22
