R2_mean,R2_std,RMSE_mean,RMSE_std,max_features
0.4595,0.005,31.72,0.15,1
0.4685,0.0048,31.45,0.14,2
0.4727,0.0051,31.33,0.15,3
0.4701,0.007,31.41,0.21,4
0.4666,0.0058,31.51,0.17,5
0.4632,0.005,31.61,0.15,6
0.4578,0.0068,31.77,0.2,7
0.452,0.0068,31.94,0.2,8
0.4487,0.0076,32.03,0.22,9
0.447,0.006,32.08,0.17,10
0.4421,0.0072,32.23,0.21,11
0.4392,0.0071,32.31,0.2,12
0.4354,0.0079,32.42,0.23,13
0.43,0.0066,32.57,0.19,14
0.4269,0.0077,32.66,0.22,15
0.4228,0.0079,32.78,0.22,16
0.4219,0.0075,32.8,0.21,17
0.4165,0.0084,32.96,0.23,18
0.4161,0.0078,32.97,0.22,19
0.41,0.0068,33.14,0.19,20
0.408,0.0068,33.19,0.19,21
0.403,0.0087,33.34,0.24,22
0.3999,0.0087,33.42,0.24,23
0.3951,0.0068,33.56,0.19,24
