R2_mean,R2_std,RMSE_mean,RMSE_std,max_features
0.4319,0.0055,32.31,0.16,1
0.4427,0.0046,32.0,0.13,2
0.4547,0.0057,31.66,0.17,3
0.4569,0.005,31.6,0.14,4
0.4574,0.0056,31.58,0.16,5
0.4594,0.0073,31.52,0.21,6
0.4552,0.0068,31.64,0.2,7
0.4542,0.0076,31.67,0.22,8
0.4512,0.0064,31.76,0.18,9
0.4505,0.0057,31.78,0.17,10
0.4487,0.0063,31.83,0.18,11
0.4463,0.0068,31.9,0.2,12
0.4441,0.0071,31.97,0.2,13
0.4401,0.0082,32.08,0.23,14
0.4383,0.0066,32.13,0.19,15
0.4368,0.0065,32.18,0.18,16
0.4346,0.0068,32.24,0.19,17
0.4347,0.0076,32.24,0.22,18
0.4297,0.0058,32.38,0.17,19
0.4297,0.0071,32.38,0.2,20
0.4274,0.0074,32.44,0.21,21
0.4249,0.0067,32.51,0.19,22
