R2_mean,R2_std,RMSE_mean,RMSE_std,max_samples
0.3877,0.0028,33.76,0.08,0.02
0.402,0.0038,33.36,0.11,0.04
0.4056,0.0055,33.26,0.15,0.06
0.4065,0.0063,33.24,0.17,0.08
0.4077,0.0073,33.2,0.2,0.1
0.4063,0.006,33.24,0.17,0.12
0.4037,0.0074,33.32,0.21,0.14
0.4031,0.0089,33.33,0.25,0.16
0.4021,0.0077,33.36,0.21,0.18
0.4013,0.0085,33.38,0.24,0.2
0.4001,0.0069,33.42,0.19,0.22
0.3995,0.0076,33.43,0.21,0.24
0.3983,0.0088,33.47,0.24,0.26
0.397,0.0077,33.5,0.21,0.28
0.3959,0.0075,33.53,0.21,0.3
0.3939,0.0073,33.59,0.2,0.32
0.3927,0.0078,33.62,0.21,0.34
0.3903,0.0071,33.69,0.2,0.36
0.3894,0.0072,33.71,0.2,0.38
0.3876,0.0079,33.76,0.22,0.4
0.3887,0.0087,33.73,0.24,0.42
0.389,0.0085,33.73,0.23,0.44
0.3868,0.0081,33.79,0.22,0.46
0.3858,0.0079,33.81,0.22,0.48
0.3847,0.0086,33.84,0.24,0.5
0.3844,0.0081,33.85,0.22,0.52
0.3835,0.0083,33.88,0.23,0.54
0.3819,0.0085,33.92,0.23,0.56
0.3817,0.0089,33.93,0.24,0.58
0.3819,0.0088,33.92,0.24,0.6
0.3792,0.0089,33.99,0.24,0.62
0.3798,0.0085,33.98,0.23,0.64
0.3791,0.0098,34.0,0.27,0.66
0.3776,0.0093,34.04,0.25,0.68
0.3766,0.0088,34.07,0.24,0.7
0.377,0.0088,34.05,0.24,0.72
0.3762,0.0092,34.08,0.25,0.74
0.3746,0.0098,34.12,0.27,0.76
0.3743,0.0102,34.13,0.28,0.78
0.3739,0.0092,34.14,0.25,0.8
0.3729,0.0094,34.17,0.25,0.82
0.3731,0.0095,34.16,0.26,0.84
0.3714,0.0078,34.21,0.21,0.86
0.3717,0.0094,34.2,0.26,0.88
0.3706,0.0097,34.23,0.26,0.9
0.3698,0.0082,34.25,0.22,0.92
0.3696,0.0093,34.25,0.25,0.94
0.3696,0.0082,34.26,0.22,0.96
0.3693,0.0093,34.26,0.25,0.98
