R2_mean,R2_std,RMSE_mean,RMSE_std,max_samples
0.366,0.0023,34.14,0.06,0.02
0.3924,0.0021,33.42,0.06,0.04
0.403,0.0057,33.13,0.16,0.06
0.4107,0.0035,32.91,0.1,0.08
0.414,0.0056,32.82,0.16,0.1
0.419,0.0067,32.68,0.19,0.12
0.4214,0.0061,32.61,0.17,0.14
0.4239,0.0083,32.54,0.23,0.16
0.4238,0.0053,32.54,0.15,0.18
0.426,0.006,32.48,0.17,0.2
0.4261,0.0063,32.48,0.18,0.22
0.4296,0.0055,32.38,0.15,0.24
0.431,0.005,32.34,0.14,0.26
0.4303,0.0052,32.36,0.15,0.28
0.429,0.0071,32.4,0.2,0.3
0.4321,0.0061,32.31,0.17,0.32
0.4315,0.0064,32.32,0.18,0.34
0.431,0.0062,32.34,0.18,0.36
0.4312,0.0048,32.33,0.13,0.38
0.432,0.0064,32.31,0.18,0.4
0.4318,0.0059,32.32,0.17,0.42
0.4319,0.0066,32.31,0.19,0.44
0.4321,0.0067,32.31,0.19,0.46
0.433,0.0059,32.28,0.17,0.48
0.4314,0.0065,32.33,0.19,0.5
0.4319,0.0059,32.31,0.17,0.52
0.43,0.0064,32.37,0.18,0.54
0.4308,0.0072,32.34,0.2,0.56
0.4286,0.0066,32.41,0.19,0.58
0.4299,0.0068,32.37,0.19,0.6
0.4308,0.0056,32.35,0.16,0.62
0.4306,0.0071,32.35,0.2,0.64
0.43,0.0061,32.37,0.17,0.66
0.4305,0.0059,32.35,0.17,0.68
0.4303,0.0053,32.36,0.15,0.7
0.4297,0.0056,32.38,0.16,0.72
0.4301,0.0072,32.36,0.2,0.74
0.4304,0.0074,32.36,0.21,0.76
0.4292,0.0058,32.39,0.16,0.78
0.4279,0.0058,32.43,0.16,0.8
0.4281,0.0056,32.42,0.16,0.82
0.4281,0.0059,32.42,0.17,0.84
0.4276,0.0057,32.44,0.16,0.86
0.4273,0.0069,32.45,0.19,0.88
0.428,0.0066,32.42,0.19,0.9
0.4271,0.0064,32.45,0.18,0.92
0.4273,0.0082,32.45,0.23,0.94
0.427,0.0063,32.45,0.18,0.96
0.4263,0.0055,32.47,0.16,0.98
