R2_mean,R2_std,RMSE_mean,RMSE_std,max_samples
0.5361,0.0054,29.39,0.17,0.02
0.5553,0.0098,28.77,0.32,0.04
0.5519,0.0125,28.88,0.4,0.06
0.5446,0.0134,29.11,0.43,0.08
0.5376,0.014,29.34,0.45,0.1
0.5308,0.0136,29.55,0.43,0.12
0.5254,0.0152,29.72,0.48,0.14
0.5196,0.0154,29.9,0.48,0.16
0.5142,0.0152,30.07,0.47,0.18
0.5098,0.0153,30.2,0.47,0.2
0.505,0.0151,30.35,0.47,0.22
0.5018,0.0153,30.45,0.47,0.24
0.4979,0.0151,30.57,0.46,0.26
0.4946,0.0154,30.67,0.47,0.28
0.4919,0.0159,30.75,0.48,0.3
0.4895,0.0158,30.82,0.48,0.32
0.4868,0.0162,30.9,0.49,0.34
0.4847,0.0163,30.97,0.49,0.36
0.4825,0.0161,31.03,0.48,0.38
0.4803,0.0163,31.1,0.49,0.4
0.4781,0.0166,31.17,0.5,0.42
0.4766,0.0162,31.21,0.48,0.44
0.475,0.0159,31.26,0.48,0.46
0.4734,0.0162,31.31,0.48,0.48
0.4719,0.0162,31.35,0.48,0.5
0.4707,0.0164,31.39,0.49,0.52
0.4695,0.0166,31.42,0.49,0.54
0.4683,0.0165,31.46,0.49,0.56
0.4671,0.0163,31.49,0.48,0.58
0.4659,0.0163,31.53,0.48,0.6
0.465,0.0163,31.55,0.48,0.62
0.4642,0.0163,31.58,0.48,0.64
0.4632,0.0163,31.61,0.48,0.66
0.4624,0.0164,31.63,0.48,0.68
0.4615,0.0164,31.66,0.48,0.7
0.4605,0.0162,31.69,0.48,0.72
0.4595,0.0164,31.72,0.48,0.74
0.459,0.0164,31.73,0.48,0.76
0.4583,0.0162,31.75,0.48,0.78
0.4575,0.0163,31.78,0.48,0.8
0.4569,0.0165,31.79,0.48,0.82
0.4562,0.0165,31.81,0.48,0.84
0.4558,0.0165,31.82,0.49,0.86
0.4551,0.0166,31.84,0.49,0.88
0.4545,0.0166,31.86,0.49,0.9
0.4541,0.0166,31.88,0.49,0.92
0.4534,0.0165,31.9,0.48,0.94
0.453,0.0164,31.91,0.48,0.96
0.4526,0.0165,31.92,0.48,0.98
