R2_mean,R2_std,RMSE_mean,RMSE_std,min_samples_split
0.3673,0.0084,34.32,0.23,2
0.3676,0.0087,34.31,0.23,3
0.3677,0.0087,34.31,0.23,4
0.3677,0.0086,34.31,0.23,5
0.3672,0.0093,34.32,0.25,6
0.3672,0.0087,34.32,0.24,7
0.3674,0.0088,34.32,0.24,8
0.367,0.0085,34.33,0.23,9
0.367,0.0085,34.33,0.23,10
0.3672,0.0087,34.32,0.24,11
0.3669,0.0084,34.33,0.23,12
0.3671,0.0086,34.32,0.23,13
0.367,0.008,34.33,0.22,14
0.3671,0.0083,34.32,0.23,15
0.3674,0.0085,34.32,0.23,16
0.3677,0.0084,34.31,0.23,17
0.3677,0.0083,34.31,0.22,18
0.3676,0.0081,34.31,0.22,19
0.3678,0.008,34.3,0.22,20
0.368,0.008,34.3,0.22,21
0.368,0.0082,34.3,0.22,22
0.3681,0.0081,34.3,0.22,23
0.3682,0.0078,34.29,0.21,24
0.3682,0.0078,34.29,0.21,25
0.3682,0.0077,34.29,0.21,26
0.3682,0.0074,34.29,0.2,27
0.3684,0.0074,34.29,0.2,28
0.3683,0.0075,34.29,0.2,29
0.3685,0.0074,34.29,0.2,30
0.3688,0.0074,34.28,0.2,31
0.3689,0.0075,34.27,0.2,32
0.3691,0.0075,34.27,0.2,33
0.3693,0.0074,34.26,0.2,34
