R2_mean,R2_std,RMSE_mean,RMSE_std,min_samples_split
0.3951,0.0068,33.56,0.19,2
0.395,0.0073,33.56,0.2,3
0.3949,0.0074,33.56,0.21,4
0.3948,0.0074,33.56,0.2,5
0.3945,0.0071,33.57,0.2,6
0.3948,0.007,33.56,0.19,7
0.3942,0.0072,33.58,0.2,8
0.3942,0.0066,33.58,0.18,9
0.394,0.0066,33.59,0.18,10
0.3939,0.0066,33.59,0.18,11
0.3939,0.0066,33.59,0.18,12
0.394,0.0066,33.59,0.18,13
0.3942,0.0064,33.58,0.18,14
0.3944,0.0064,33.58,0.18,15
0.3942,0.0066,33.58,0.18,16
0.3944,0.0065,33.57,0.18,17
0.3945,0.0063,33.57,0.18,18
0.3946,0.0064,33.57,0.18,19
0.3947,0.0063,33.57,0.17,20
0.3948,0.0063,33.56,0.18,21
0.3947,0.0065,33.57,0.18,22
0.3948,0.0061,33.56,0.17,23
0.395,0.0059,33.56,0.16,24
0.3952,0.0059,33.55,0.16,25
0.3952,0.0059,33.55,0.16,26
0.3952,0.0058,33.55,0.16,27
0.3955,0.0056,33.55,0.15,28
0.3954,0.0056,33.55,0.15,29
0.3955,0.0053,33.54,0.15,30
0.3956,0.0055,33.54,0.15,31
0.3957,0.0055,33.54,0.15,32
0.3958,0.0053,33.54,0.15,33
0.396,0.0052,33.53,0.15,34
