R2_mean,R2_std,RMSE_mean,RMSE_std,min_samples_split
0.4249,0.0067,32.51,0.19,2
0.4251,0.0071,32.51,0.2,3
0.4253,0.0065,32.5,0.18,4
0.4251,0.007,32.51,0.2,5
0.4252,0.0067,32.5,0.19,6
0.4253,0.0068,32.5,0.19,7
0.4254,0.0069,32.5,0.19,8
0.4251,0.0065,32.51,0.18,9
0.4254,0.0067,32.5,0.19,10
0.4256,0.0066,32.49,0.19,11
0.4255,0.0064,32.49,0.18,12
0.4257,0.0065,32.49,0.18,13
0.4258,0.0061,32.49,0.17,14
0.4258,0.006,32.49,0.17,15
0.4256,0.0063,32.49,0.18,16
0.4254,0.0062,32.5,0.18,17
0.4254,0.0062,32.5,0.17,18
0.4254,0.0063,32.5,0.18,19
0.4251,0.006,32.51,0.17,20
0.4249,0.0061,32.51,0.17,21
0.4248,0.006,32.52,0.17,22
0.4246,0.0058,32.52,0.16,23
0.4245,0.0055,32.52,0.16,24
0.4244,0.0055,32.53,0.16,25
0.4243,0.0055,32.53,0.15,26
0.4242,0.0053,32.53,0.15,27
0.4243,0.0053,32.53,0.15,28
0.4239,0.0054,32.54,0.15,29
0.4237,0.0053,32.55,0.15,30
0.4236,0.0054,32.55,0.15,31
0.4235,0.0054,32.55,0.15,32
0.4234,0.0054,32.56,0.15,33
0.4231,0.0055,32.56,0.15,34
