R2_mean,R2_std,RMSE_mean,RMSE_std,min_samples_split
0.4521,0.0166,31.93,0.49,2
0.4539,0.0166,31.88,0.49,3
0.4562,0.0168,31.81,0.49,4
0.4588,0.0167,31.74,0.49,5
0.4615,0.0168,31.66,0.5,6
0.464,0.0168,31.58,0.5,7
0.4666,0.0168,31.51,0.5,8
0.4689,0.0168,31.44,0.5,9
0.471,0.0168,31.38,0.5,10
0.4728,0.0169,31.32,0.5,11
0.4746,0.017,31.27,0.51,12
0.4763,0.017,31.22,0.51,13
0.4779,0.017,31.17,0.51,14
0.4795,0.017,31.12,0.51,15
0.4811,0.017,31.08,0.51,16
0.4825,0.017,31.03,0.51,17
0.4838,0.0168,30.99,0.51,18
0.485,0.0168,30.96,0.51,19
0.4862,0.0168,30.92,0.51,20
0.4874,0.0167,30.89,0.51,21
0.4885,0.0168,30.85,0.51,22
0.4894,0.0168,30.83,0.51,23
0.4903,0.0169,30.8,0.51,24
0.4912,0.017,30.77,0.52,25
0.4919,0.0171,30.75,0.52,26
0.4926,0.0171,30.73,0.52,27
0.4935,0.0173,30.7,0.53,28
0.4942,0.0174,30.68,0.53,29
0.4947,0.0174,30.66,0.53,30
0.4952,0.0175,30.65,0.53,31
0.4956,0.0175,30.64,0.53,32
0.496,0.0174,30.62,0.53,33
0.4964,0.0173,30.61,0.53,34
