feature,importance
VAR_2T,0.17499408117282284
BLH,0.16581595572272995
VAR_2D,0.16222294540359855
SP,0.10208330289185437
TCC,0.0877521912950666
VAR_10V,0.07916533871068207
VAR_10U,0.0791564583203988
residential_road_2000m,0.02680129491337288
tertiary_road_2000m,0.024844142847907424
forest_2000m,0.014613471195090738
footway_road_1500m,0.012522340106457799
commercial_1000m,0.010562083715483093
steps_road_2000m,0.01038058538966881
pedestrian_road_1500m,0.008726509864982494
unclassified_road_100m,0.007914965805373545
path_road_2000m,0.0077938714743296346
secondary_link_road_1000m,0.004868341899391677
tertiary_link_road_1500m,0.004640518653585114
path_road_1000m,0.004524220829371619
motorway_road_1500m,0.0042372362640877605
trunk_link_road_1000m,0.003982752240526346
track_road_2000m,0.0023973912832180744
