number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_max_samples,params_min_samples_split,state
0,0.39816223927142413,2026-07-03 12:11:57.774595,2026-07-03 12:11:59.813691,0 days 00:00:02.039096,49,2,0.09502386622768001,16,COMPLETE
1,0.4391450718309698,2026-07-03 12:11:59.813736,2026-07-03 12:12:03.597660,0 days 00:00:03.783924,20,7,0.7586157347550064,7,COMPLETE
2,0.34119278348622906,2026-07-03 12:12:03.597712,2026-07-03 12:12:06.714683,0 days 00:00:03.116971,5,16,0.6101353345471117,7,COMPLETE
3,0.4267651623765435,2026-07-03 12:12:06.714759,2026-07-03 12:12:09.921790,0 days 00:00:03.207031,31,9,0.36252899371549774,18,COMPLETE
4,0.44136693672932586,2026-07-03 12:12:09.921862,2026-07-03 12:12:12.938365,0 days 00:00:03.016503,17,3,0.9588804832985306,10,COMPLETE
5,0.4195097589596883,2026-07-03 12:12:12.938418,2026-07-03 12:12:15.334940,0 days 00:00:02.396522,14,11,0.11722115303375817,16,COMPLETE
6,0.44736816597266865,2026-07-03 12:12:15.334992,2026-07-03 12:12:18.327015,0 days 00:00:02.992023,43,3,0.6976241148002179,16,COMPLETE
7,0.42481804725435507,2026-07-03 12:12:18.327089,2026-07-03 12:12:21.464323,0 days 00:00:03.137234,12,10,0.3839405716427573,5,COMPLETE
8,0.4099375472237841,2026-07-03 12:12:21.464398,2026-07-03 12:12:26.625157,0 days 00:00:05.160759,16,15,0.9585828160653063,35,COMPLETE
9,0.3575864298918357,2026-07-03 12:12:26.625233,2026-07-03 12:12:30.270596,0 days 00:00:03.645363,6,19,0.6490137701537172,26,COMPLETE
10,0.39561913024215045,2026-07-03 12:12:30.270647,2026-07-03 12:12:34.790292,0 days 00:00:04.519645,50,23,0.3376174396342048,26,COMPLETE
11,0.4342375024861397,2026-07-03 12:12:34.790342,2026-07-03 12:12:37.505861,0 days 00:00:02.715519,36,1,0.9944033288979223,12,COMPLETE
12,0.45104873182533234,2026-07-03 12:12:37.505935,2026-07-03 12:12:41.367033,0 days 00:00:03.861098,28,5,0.822526711381777,2,COMPLETE
13,0.4485841747755626,2026-07-03 12:12:41.367085,2026-07-03 12:12:45.211807,0 days 00:00:03.844722,38,5,0.7652433973992574,2,COMPLETE
14,0.44569388452163894,2026-07-03 12:12:45.211858,2026-07-03 12:12:48.927011,0 days 00:00:03.715153,27,6,0.7652970899724738,5,COMPLETE
15,0.4448346176634185,2026-07-03 12:12:48.927064,2026-07-03 12:12:53.270725,0 days 00:00:04.343661,38,6,0.8499884549425327,2,COMPLETE
16,0.4215208750694545,2026-07-03 12:12:53.270775,2026-07-03 12:12:58.420483,0 days 00:00:05.149708,28,13,0.509748339463922,2,COMPLETE
17,0.43844137072456213,2026-07-03 12:12:58.420558,2026-07-03 12:13:02.230226,0 days 00:00:03.809668,22,7,0.8416121570642038,10,COMPLETE
18,0.44912256079977125,2026-07-03 12:13:02.230280,2026-07-03 12:13:05.518578,0 days 00:00:03.288298,35,4,0.524894502645925,2,COMPLETE
19,0.44462494743217656,2026-07-03 12:13:05.518651,2026-07-03 12:13:08.367360,0 days 00:00:02.848709,33,3,0.5048589033707189,12,COMPLETE
20,0.42974268018473927,2026-07-03 12:13:08.367435,2026-07-03 12:13:11.328663,0 days 00:00:02.961228,44,9,0.2381413026222723,6,COMPLETE
21,0.449472350306715,2026-07-03 12:13:11.328736,2026-07-03 12:13:14.785046,0 days 00:00:03.456310,40,5,0.5391130667058065,2,COMPLETE
22,0.4508834528255772,2026-07-03 12:13:14.785098,2026-07-03 12:13:18.087580,0 days 00:00:03.302482,43,4,0.5392286454313646,2,COMPLETE
23,0.42517333044612693,2026-07-03 12:13:18.087656,2026-07-03 12:13:20.628492,0 days 00:00:02.540836,41,1,0.5672428946807033,9,COMPLETE
24,0.43749761253025027,2026-07-03 12:13:20.628565,2026-07-03 12:13:24.256209,0 days 00:00:03.627644,45,8,0.4348247920483307,4,COMPLETE
25,0.439173165207934,2026-07-03 12:13:24.256263,2026-07-03 12:13:26.907914,0 days 00:00:02.651651,25,5,0.19777573410565008,4,COMPLETE
26,0.4466498905822931,2026-07-03 12:13:26.907990,2026-07-03 12:13:29.965264,0 days 00:00:03.057274,30,5,0.4436636519455827,7,COMPLETE
27,0.4217401775159262,2026-07-03 12:13:29.965340,2026-07-03 12:13:33.313374,0 days 00:00:03.348034,47,12,0.2826051701122861,8,COMPLETE
28,0.43382629836670594,2026-07-03 12:13:33.313452,2026-07-03 12:13:37.652106,0 days 00:00:04.338654,40,8,0.6844466555859078,4,COMPLETE
29,0.33497151675085596,2026-07-03 12:13:37.652159,2026-07-03 12:13:39.566866,0 days 00:00:01.914707,47,1,0.040830981503771846,14,COMPLETE
30,0.4526762299037406,2026-07-03 12:13:39.566940,2026-07-03 12:13:42.890459,0 days 00:00:03.323519,41,3,0.8392551266686687,2,COMPLETE
31,0.45543674894527353,2026-07-03 12:13:42.890510,2026-07-03 12:13:46.330995,0 days 00:00:03.440485,41,3,0.8574244504037707,2,COMPLETE
32,0.45613365093298375,2026-07-03 12:13:46.331071,2026-07-03 12:13:49.569584,0 days 00:00:03.238513,47,3,0.8774810957847445,5,COMPLETE
33,0.44969040654355447,2026-07-03 12:13:49.569636,2026-07-03 12:13:52.482854,0 days 00:00:02.913218,47,2,0.8669399732687163,6,COMPLETE
34,0.45454542027075656,2026-07-03 12:13:52.482928,2026-07-03 12:13:55.649340,0 days 00:00:03.166412,50,3,0.9070388170592117,8,COMPLETE
35,0.44713801908284384,2026-07-03 12:13:55.649416,2026-07-03 12:13:58.577159,0 days 00:00:02.927743,50,2,0.8993921417006441,11,COMPLETE
36,0.45565086361506396,2026-07-03 12:13:58.577233,2026-07-03 12:14:01.586696,0 days 00:00:03.009463,47,3,0.9100127966431037,8,COMPLETE
37,0.4376976830788535,2026-07-03 12:14:01.586771,2026-07-03 12:14:05.742654,0 days 00:00:04.155883,47,7,0.9033217383758023,8,COMPLETE
38,0.44329518767521386,2026-07-03 12:14:05.742728,2026-07-03 12:14:08.705989,0 days 00:00:02.963261,48,2,0.9504719520083772,14,COMPLETE
39,0.4456202321939767,2026-07-03 12:14:08.706068,2026-07-03 12:14:11.859076,0 days 00:00:03.153008,45,4,0.7262043351876475,21,COMPLETE
40,0.452937442440546,2026-07-03 12:14:11.859128,2026-07-03 12:14:15.020745,0 days 00:00:03.161617,50,3,0.7843278529746018,8,COMPLETE
41,0.4523839599190163,2026-07-03 12:14:15.020821,2026-07-03 12:14:18.114868,0 days 00:00:03.094047,50,3,0.7965804646425412,9,COMPLETE
42,0.45088120339251103,2026-07-03 12:14:18.114943,2026-07-03 12:14:21.054495,0 days 00:00:02.939552,45,2,0.9060922943353783,7,COMPLETE
43,0.45249861165434463,2026-07-03 12:14:21.054590,2026-07-03 12:14:24.321198,0 days 00:00:03.266608,43,4,0.9398517017478506,14,COMPLETE
44,0.4411195435937424,2026-07-03 12:14:24.321251,2026-07-03 12:14:27.088037,0 days 00:00:02.766786,49,1,0.9958007833665472,5,COMPLETE
45,0.4433392806100348,2026-07-03 12:14:27.088089,2026-07-03 12:14:30.807188,0 days 00:00:03.719099,46,6,0.8019662745393199,11,COMPLETE
46,0.39015059449700445,2026-07-03 12:14:30.807265,2026-07-03 12:14:37.687202,0 days 00:00:06.879937,42,21,0.7217391554320465,9,COMPLETE
47,0.439914960222829,2026-07-03 12:14:37.687256,2026-07-03 12:14:40.502507,0 days 00:00:02.815251,50,3,0.6525674799937119,34,COMPLETE
48,0.4433962782028448,2026-07-03 12:14:40.502583,2026-07-03 12:14:44.214299,0 days 00:00:03.711716,39,6,0.8790439404377813,18,COMPLETE
49,0.40406655608530445,2026-07-03 12:14:44.214350,2026-07-03 12:14:50.625586,0 days 00:00:06.411236,36,17,0.7691338374501758,6,COMPLETE
50,0.45307032438364736,2026-07-03 12:14:50.625639,2026-07-03 12:14:53.742081,0 days 00:00:03.116442,48,2,0.9263520143496438,4,COMPLETE
51,0.4528942415090712,2026-07-03 12:14:53.742157,2026-07-03 12:14:56.760078,0 days 00:00:03.017921,48,2,0.9352772051574437,4,COMPLETE
52,0.4556635704581645,2026-07-03 12:14:56.760128,2026-07-03 12:15:00.034621,0 days 00:00:03.274493,44,4,0.8152514989553034,8,COMPLETE
53,0.4539524768376887,2026-07-03 12:15:00.034697,2026-07-03 12:15:03.522781,0 days 00:00:03.488084,44,4,0.9831550943212329,5,COMPLETE
54,0.4410375987732036,2026-07-03 12:15:03.522834,2026-07-03 12:15:07.779360,0 days 00:00:04.256526,43,7,0.9754796870657186,6,COMPLETE
55,0.45069046316907535,2026-07-03 12:15:07.779412,2026-07-03 12:15:10.985818,0 days 00:00:03.206406,37,4,0.8775210495651958,12,COMPLETE
56,0.4505947300473913,2026-07-03 12:15:10.985871,2026-07-03 12:15:14.458877,0 days 00:00:03.473006,34,5,0.8122432584064749,10,COMPLETE
57,0.43574457420105767,2026-07-03 12:15:14.458929,2026-07-03 12:15:19.018169,0 days 00:00:04.559240,45,8,0.8394140254257844,5,COMPLETE
58,0.44537059668684637,2026-07-03 12:15:19.018245,2026-07-03 12:15:23.028646,0 days 00:00:04.010401,42,6,0.9716252863094523,7,COMPLETE
59,0.4517991739378388,2026-07-03 12:15:23.028696,2026-07-03 12:15:26.569639,0 days 00:00:03.540943,38,4,0.7470228015114714,3,COMPLETE
60,0.21663286559626269,2026-07-03 12:15:26.569716,2026-07-03 12:15:28.982794,0 days 00:00:02.413078,7,1,0.9097870291542797,8,COMPLETE
61,0.4558812460172629,2026-07-03 12:15:28.982869,2026-07-03 12:15:32.301080,0 days 00:00:03.318211,48,3,0.9281386824842234,4,COMPLETE
62,0.4568693635078005,2026-07-03 12:15:32.301153,2026-07-03 12:15:35.667698,0 days 00:00:03.366545,44,3,0.8644976850732498,3,COMPLETE
63,0.4580356885623382,2026-07-03 12:15:35.667773,2026-07-03 12:15:38.855607,0 days 00:00:03.187834,46,3,0.8654311894338661,3,COMPLETE
64,0.44939107246376453,2026-07-03 12:15:38.855683,2026-07-03 12:15:42.554087,0 days 00:00:03.698404,41,5,0.8623007456431698,4,COMPLETE
65,0.44297220027965994,2026-07-03 12:15:42.554163,2026-07-03 12:15:45.482853,0 days 00:00:02.928690,46,1,0.8266176390193017,3,COMPLETE
66,0.4539464929318139,2026-07-03 12:15:45.482929,2026-07-03 12:15:48.563553,0 days 00:00:03.080624,44,3,0.8728933354059587,6,COMPLETE
67,0.4529111389312712,2026-07-03 12:15:48.563629,2026-07-03 12:15:51.982235,0 days 00:00:03.418606,40,4,0.6873156450307182,3,COMPLETE
68,0.4510317120848484,2026-07-03 12:15:51.982310,2026-07-03 12:15:54.996644,0 days 00:00:03.014334,46,2,0.75063337693811,3,COMPLETE
69,0.4506959281422163,2026-07-03 12:15:54.996719,2026-07-03 12:15:58.834593,0 days 00:00:03.837874,42,5,0.955987737827532,5,COMPLETE
70,0.44247677569740806,2026-07-03 12:15:58.834669,2026-07-03 12:16:01.779573,0 days 00:00:02.944904,48,1,0.8140127505704005,3,COMPLETE
71,0.45788622484435554,2026-07-03 12:16:01.779648,2026-07-03 12:16:04.906806,0 days 00:00:03.127158,49,3,0.8897085523093514,7,COMPLETE
72,0.45303432523150927,2026-07-03 12:16:04.906882,2026-07-03 12:16:08.094734,0 days 00:00:03.187852,46,3,0.8813559073163506,6,COMPLETE
73,0.45006670941205884,2026-07-03 12:16:08.094809,2026-07-03 12:16:11.402138,0 days 00:00:03.307329,48,4,0.8322854765868702,7,COMPLETE
74,0.45624102391251675,2026-07-03 12:16:11.402192,2026-07-03 12:16:14.769642,0 days 00:00:03.367450,44,3,0.8481237719257123,2,COMPLETE
75,0.4396572938613973,2026-07-03 12:16:14.769695,2026-07-03 12:16:18.919237,0 days 00:00:04.149542,44,7,0.9215882109400986,10,COMPLETE
76,0.44825134313634274,2026-07-03 12:16:18.919311,2026-07-03 12:16:22.494213,0 days 00:00:03.574902,49,5,0.7827135497920282,7,COMPLETE
77,0.45014410268425403,2026-07-03 12:16:22.494263,2026-07-03 12:16:25.509440,0 days 00:00:03.015177,45,2,0.8514190263407794,5,COMPLETE
78,0.4512141164060945,2026-07-03 12:16:25.509515,2026-07-03 12:16:28.620727,0 days 00:00:03.111212,47,3,0.8883462523866201,9,COMPLETE
79,0.4477271221730555,2026-07-03 12:16:28.620776,2026-07-03 12:16:32.820816,0 days 00:00:04.200040,43,6,0.9449782008310668,3,COMPLETE
80,0.4430966628320925,2026-07-03 12:16:32.820891,2026-07-03 12:16:35.760769,0 days 00:00:02.939878,49,1,0.7983924104405853,2,COMPLETE
81,0.4509181688541276,2026-07-03 12:16:35.760821,2026-07-03 12:16:38.907943,0 days 00:00:03.147122,39,2,0.8527887063628198,2,COMPLETE
82,0.4545922819929039,2026-07-03 12:16:38.908018,2026-07-03 12:16:42.403186,0 days 00:00:03.495168,44,4,0.9278043994413165,4,COMPLETE
83,0.45599357669682894,2026-07-03 12:16:42.403238,2026-07-03 12:16:45.576935,0 days 00:00:03.173697,41,3,0.9998944909426352,6,COMPLETE
84,0.45608719439223416,2026-07-03 12:16:45.577009,2026-07-03 12:16:48.906239,0 days 00:00:03.329230,46,3,0.9957579481584818,6,COMPLETE
85,0.449991907724643,2026-07-03 12:16:48.906291,2026-07-03 12:16:52.664514,0 days 00:00:03.758223,42,5,0.965891545809413,5,COMPLETE
