number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_max_samples,params_min_samples_split,state
0,0.5946059957171016,2026-07-03 11:42:36.775371,2026-07-03 11:42:40.275932,0 days 00:00:03.500561,10,12,0.5742587879869248,29,COMPLETE
1,0.44787283940837164,2026-07-03 11:42:40.275985,2026-07-03 11:42:42.415450,0 days 00:00:02.139465,8,7,0.07294570352746528,21,COMPLETE
2,0.681524301508411,2026-07-03 11:42:42.415525,2026-07-03 11:42:45.965722,0 days 00:00:03.550197,47,9,0.5668589698373369,33,COMPLETE
3,0.6352583156225841,2026-07-03 11:42:45.965774,2026-07-03 11:42:50.809153,0 days 00:00:04.843379,10,22,0.6005862897227644,3,COMPLETE
4,0.4604903318240027,2026-07-03 11:42:50.809228,2026-07-03 11:42:53.295251,0 days 00:00:02.486023,38,2,0.2941797351622135,20,COMPLETE
5,0.5976202819023488,2026-07-03 11:42:53.295326,2026-07-03 11:42:57.081152,0 days 00:00:03.785826,10,11,0.800876328144489,29,COMPLETE
6,0.7666561612005,2026-07-03 11:42:57.081227,2026-07-03 11:43:04.073101,0 days 00:00:06.991874,42,21,0.9165672439254517,31,COMPLETE
7,0.7811487926898775,2026-07-03 11:43:04.073154,2026-07-03 11:43:09.504713,0 days 00:00:05.431559,27,16,0.6920573767428151,18,COMPLETE
8,0.4232308624261744,2026-07-03 11:43:09.504788,2026-07-03 11:43:12.026307,0 days 00:00:02.521519,28,1,0.43711077538565174,10,COMPLETE
9,0.7919570821446278,2026-07-03 11:43:12.026382,2026-07-03 11:43:17.521528,0 days 00:00:05.495146,39,15,0.7680166013753844,17,COMPLETE
10,0.4912494804282025,2026-07-03 11:43:17.521602,2026-07-03 11:43:19.723702,0 days 00:00:02.202100,24,16,0.027357272234255547,2,COMPLETE
11,0.796484376169525,2026-07-03 11:43:19.723778,2026-07-03 11:43:25.581515,0 days 00:00:05.857737,30,16,0.8029509005826064,17,COMPLETE
12,0.819963361415396,2026-07-03 11:43:25.581592,2026-07-03 11:43:32.277837,0 days 00:00:06.696245,35,17,0.9952215945269234,15,COMPLETE
13,0.8314575320016845,2026-07-03 11:43:32.277914,2026-07-03 11:43:39.369783,0 days 00:00:07.091869,32,19,0.9595435888985553,12,COMPLETE
