number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_max_samples,params_min_samples_split,state
0,0.33014776732642054,2026-07-03 11:54:06.139728,2026-07-03 11:54:08.710057,0 days 00:00:02.570329,13,1,0.679385231763067,12,COMPLETE
1,0.32557862129305,2026-07-03 11:54:08.710127,2026-07-03 11:54:10.696747,0 days 00:00:01.986620,31,2,0.03377467197932083,26,COMPLETE
2,0.37042246764768416,2026-07-03 11:54:10.696823,2026-07-03 11:54:16.321821,0 days 00:00:05.624998,41,16,0.8946270984544026,29,COMPLETE
3,0.37913529423045556,2026-07-03 11:54:16.321872,2026-07-03 11:54:22.357875,0 days 00:00:06.036003,46,14,0.8978914669996185,7,COMPLETE
4,0.39314579732172383,2026-07-03 11:54:22.357951,2026-07-03 11:54:24.964016,0 days 00:00:02.606065,25,1,0.9306224354750354,20,COMPLETE
5,0.38246906947260406,2026-07-03 11:54:24.964068,2026-07-03 11:54:30.384276,0 days 00:00:05.420208,22,13,0.7945509253250911,6,COMPLETE
6,0.3847983460965607,2026-07-03 11:54:30.384329,2026-07-03 11:54:33.781222,0 days 00:00:03.396893,16,15,0.28629757545099455,27,COMPLETE
7,0.40361747679979426,2026-07-03 11:54:33.781298,2026-07-03 11:54:38.481147,0 days 00:00:04.699849,28,9,0.7702392114068651,4,COMPLETE
8,0.39801735518327397,2026-07-03 11:54:38.481223,2026-07-03 11:54:42.172909,0 days 00:00:03.691686,35,11,0.42274570190584354,13,COMPLETE
9,0.3051723811465435,2026-07-03 11:54:42.172983,2026-07-03 11:54:44.158005,0 days 00:00:01.985022,33,1,0.04489627955975621,19,COMPLETE
10,0.3163009447989005,2026-07-03 11:54:44.158055,2026-07-03 11:54:47.592468,0 days 00:00:03.434413,5,21,0.5485112252442382,2,COMPLETE
11,0.4078384226493298,2026-07-03 11:54:47.592521,2026-07-03 11:54:51.144961,0 days 00:00:03.552440,36,9,0.45454221069170675,13,COMPLETE
12,0.4185002337152227,2026-07-03 11:54:51.145036,2026-07-03 11:54:54.113845,0 days 00:00:02.968809,39,6,0.3253889667932295,12,COMPLETE
13,0.4172734530318135,2026-07-03 11:54:54.113923,2026-07-03 11:54:56.830885,0 days 00:00:02.716962,50,6,0.25176478500029087,13,COMPLETE
