index,Code,year,n_days,mean,std,min,max
0,1001A,2015,364,84.94,80.54,5.59,535.78
0,1001A,2016,365,78.44,69.05,7.5,420.87
0,1001A,2017,365,62.35,61.15,5.79,434.16
0,1001A,2018,360,51.68,42.79,4.0,252.62
0,1001A,2019,364,45.71,37.06,4.27,281.38
1,1002A,2015,364,64.43,63.74,4.04,427.76
1,1002A,2016,363,60.12,58.68,5.43,398.17
1,1002A,2017,365,47.33,45.75,2.41,314.22
1,1002A,2018,360,43.24,42.17,2.5,270.71
1,1002A,2019,363,33.62,28.9,2.19,186.57
2,1003A,2015,364,87.26,80.54,4.96,567.17
2,1003A,2016,363,80.18,70.15,3.83,405.89
2,1003A,2017,365,62.53,59.71,5.39,474.68
2,1003A,2018,360,53.63,45.04,3.17,258.42
2,1003A,2019,364,44.32,34.35,3.05,227.5
3,1004A,2015,364,82.17,75.14,6.0,497.52
3,1004A,2016,366,74.02,64.44,6.12,385.63
3,1004A,2017,365,58.33,56.99,5.58,446.08
3,1004A,2018,360,50.17,42.11,2.58,246.42
3,1004A,2019,363,45.29,37.55,3.56,306.42
4,1005A,2015,363,85.06,79.16,3.69,512.14
4,1005A,2016,366,76.4,67.02,7.0,372.05
4,1005A,2017,364,60.27,59.17,4.79,436.16
4,1005A,2018,360,51.9,43.06,3.91,251.04
4,1005A,2019,364,44.45,34.36,3.77,225.0
5,1006A,2015,364,82.19,74.19,6.91,532.04
5,1006A,2016,365,77.37,67.16,6.58,407.09
5,1006A,2017,365,59.0,55.14,5.65,482.16
5,1006A,2018,360,52.93,44.13,5.43,255.38
5,1006A,2019,364,42.85,34.4,2.92,227.08
6,1007A,2015,364,80.21,71.54,4.62,472.29
6,1007A,2016,366,71.51,63.41,5.38,380.7
6,1007A,2017,365,56.7,56.04,4.3,472.21
6,1007A,2018,360,50.22,41.88,3.0,233.17
6,1007A,2019,364,42.01,32.57,4.06,207.88
7,1008A,2015,364,81.27,72.02,5.08,520.62
7,1008A,2016,365,72.26,63.05,3.0,374.96
7,1008A,2017,365,57.72,56.4,4.14,424.79
7,1008A,2018,360,51.93,46.7,2.35,294.0
7,1008A,2019,364,41.85,32.93,2.62,214.09
8,1009A,2015,364,70.54,62.76,4.68,450.38
8,1009A,2016,366,61.17,55.45,5.48,362.7
8,1009A,2017,364,50.04,48.07,4.09,393.42
8,1009A,2018,359,44.06,42.36,2.44,266.88
8,1009A,2019,364,35.05,28.66,2.71,198.42
9,1010A,2015,357,69.31,60.16,6.8,382.67
9,1010A,2016,366,61.6,56.27,6.78,407.22
9,1010A,2017,365,51.91,50.19,5.27,426.68
9,1010A,2018,360,46.46,41.72,5.11,267.33
9,1010A,2019,364,37.32,29.59,3.81,195.91
10,1011A,2015,364,81.55,74.31,5.33,507.3
10,1011A,2016,366,73.93,65.23,5.96,372.13
10,1011A,2017,365,57.71,56.55,4.33,457.63
10,1011A,2018,360,52.35,43.57,4.11,244.25
10,1011A,2019,364,42.54,32.81,4.0,204.62
11,1012A,2015,364,83.81,75.27,5.5,512.81
11,1012A,2016,366,77.59,67.47,7.42,481.11
11,1012A,2017,365,61.71,59.91,5.21,482.95
11,1012A,2018,360,54.88,46.19,4.3,269.06
11,1012A,2019,364,44.5,32.92,4.35,218.38
12,1013A,2015,180,71.06,45.62,11.43,332.36
13,1014A,2015,364,73.04,54.02,6.6,342.58
13,1014A,2016,325,67.64,47.65,5.11,392.42
14,1015A,2015,364,69.12,56.34,6.82,405.59
14,1015A,2016,366,72.76,59.35,7.59,388.67
14,1015A,2017,365,65.01,50.11,9.82,338.19
14,1015A,2018,360,53.88,39.71,7.82,294.29
14,1015A,2019,364,55.21,41.68,8.93,274.57
15,1016A,2015,362,71.28,52.03,8.04,324.67
15,1016A,2016,153,62.04,51.11,9.96,380.12
16,1017A,2015,364,68.33,52.04,6.91,334.08
16,1017A,2016,366,70.9,55.14,6.08,331.92
16,1017A,2017,365,64.57,48.62,9.33,292.45
16,1017A,2018,360,52.89,38.18,7.76,280.09
16,1017A,2019,364,52.06,42.2,6.07,262.88
