feature,mean_abs_shap
VAR_2T,15.44457550851975
BLH,6.30528205071906
VAR_2D,6.29552743303642
SP,4.046092223489643
TCC,3.214094731340134
VAR_10V,3.1406214958690755
VAR_10U,1.70072666708449
residential_road_2000m,1.032360864843541
forest_2000m,1.0186790901043323
tertiary_road_2000m,0.37388757605912154
commercial_1000m,0.3087470922843724
pedestrian_road_1500m,0.26030797021932267
unclassified_road_100m,0.19814030713301362
steps_road_2000m,0.17999848882097433
footway_road_1500m,0.1356645973470341
path_road_2000m,0.08069763868655846
motorway_road_1500m,0.06984390941681096
tertiary_link_road_1500m,0.06470241439853358
trunk_link_road_1000m,0.062436263047477
secondary_link_road_1000m,0.05106704002256526
path_road_1000m,0.04617752920421871
track_road_2000m,0.026821161927733452
