feature,mean_abs_shap
VAR_2T,9.971122546183675
BLH,7.204942669008295
VAR_2D,5.786177429855185
SP,3.2473342290645206
TCC,2.733743889571486
VAR_10V,1.9439278622805407
forest_2000m,1.7465613663316288
VAR_10U,1.5964033376340383
tertiary_road_2000m,1.1282964508352424
residential_road_2000m,0.983332433318561
pedestrian_road_1500m,0.8920847701103497
unclassified_road_100m,0.7580027072859018
commercial_1000m,0.6096640023603681
steps_road_2000m,0.4678365247253864
footway_road_1500m,0.4580690344924586
path_road_2000m,0.35147122124210955
motorway_road_1500m,0.23309772387194783
path_road_1000m,0.2225911680524904
secondary_link_road_1000m,0.19179379807973568
tertiary_link_road_1500m,0.17284908604073418
trunk_link_road_1000m,0.16908726340324035
track_road_2000m,0.13138415221484087
