N_stations,CV,R2_mean,R2_std,RMSE_mean,RMSE_std,N_samples
157,Spatial,0.8487,0.0033,16.78,0.18,50551
157,Temporal,0.3698,0.009,34.25,0.24,50551
120,Spatial,0.8038,0.0078,19.16,0.38,40026
120,Temporal,0.3697,0.0082,34.34,0.22,40026
90,Spatial,0.7098,0.0054,22.59,0.21,29772
90,Temporal,0.3737,0.0079,33.18,0.21,29772
60,Spatial,0.602,0.0097,26.59,0.32,19622
60,Temporal,0.3994,0.0072,32.66,0.2,19622
40,Spatial,0.5064,0.0062,30.12,0.19,11994
40,Temporal,0.4254,0.0067,32.5,0.19,11994
20,Spatial,0.4082,0.0135,33.16,0.38,6169
20,Temporal,0.4354,0.0085,32.39,0.24,6169
